"","root_size","stem_size","root_branching","sum"
"1",70,32,0,102
"2",68,28,0,96
"3",94,22,0,116
"4",70,24,0,94
"5",79,36,0,115
"6",53,28,1,81
"7",58,28,0,86
"8",31,14,0,45
"9",75,30,0,105
"10",35,26,0,61
"11",65,16,0,81
"12",51,23,0,74
"13",48,19,0,67
"14",60,20,0,80
"15",48,25,0,73
"16",40,22,0,62
"17",78,25,0,103
"18",44,26,0,70
"19",71,33,0,104
"20",77,25,0,102
"21",24,17,0,41
"22",115,32,0,147
"23",92,25,0,117
"24",116,25,0,141
"25",81,40,0,121
"26",78,31,0,109
"27",99,23,0,122
"28",91,19,0,110
"29",71,20,0,91
"30",72,18,0,90
"31",79,35,0,114
"32",66,22,0,88
"33",115,34,0,149
"34",42,23,0,65
"35",21,20,0,41
"36",72,26,0,98
"37",45,36,0,81
"38",35,21,0,56
"39",56,31,0,87
"40",92,26,0,118
"41",51,27,0,78
"42",30,12,0,42
"43",52,23,0,75
"44",65,21,0,86
"45",62,30,0,92
"46",3,24,0,27
"47",34,12,0,46
"48",77,25,0,102
"49",32,28,0,60
"50",76,27,0,103
"51",29,19,0,48
"52",90,30,0,120
"53",65,29,0,94
"54",76,25,0,101
"55",77,34,0,111
"56",81,30,0,111
"57",10,29,0,39
"58",30,22,0,52
"59",60,20,0,80
"60",87,26,0,113
"61",27,23,0,50
"62",65,33,0,98
"63",96,32,0,128
"64",95,30,0,125
"65",75,29,0,104
